loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
lotomania,54,07/10/2000,True,06,15,17,18,22,23,38,40,43,45,53,56,74,86,87,88,91,94,97,98,97,88,23,98,06,87,45,22,18,43,56,40,17,38,74,94,15,53,91,86
lotomania,55,14/10/2000,True,03,04,05,26,32,37,40,44,49,50,54,63,64,67,73,74,89,96,97,99,97,37,05,04,96,26,44,49,40,99,50,89,54,03,64,63,32,74,67,73
lotomania,56,18/10/2000,True,08,12,16,17,24,28,30,31,35,36,47,56,60,63,74,80,82,88,91,92,82,74,88,92,47,56,28,60,30,24,12,16,91,31,08,35,36,17,80,63
lotomania,57,21/10/2000,False,02,05,09,25,28,41,44,50,58,64,67,73,78,79,83,85,93,95,97,98,41,67,98,58,85,79,64,44,09,78,93,83,73,97,50,05,28,02,95,25
lotomania,58,25/10/2000,True,08,11,13,16,19,22,23,25,48,51,56,61,66,74,78,80,85,90,92,95,08,80,92,23,25,22,78,85,48,95,16,19,13,74,90,11,51,61,56,66
lotomania,59,28/10/2000,False,07,14,16,20,27,30,35,45,52,53,56,63,76,81,83,89,91,92,94,96,27,81,92,63,14,83,35,96,07,89,45,76,56,53,52,94,20,91,16,30
lotomania,60,01/11/2000,True,02,04,12,14,17,22,26,40,41,42,43,45,47,60,67,68,76,87,88,93,60,76,04,41,88,12,14,42,22,17,87,93,45,40,26,67,68,43,47,02
lotomania,61,04/11/2000,False,00,06,14,26,27,30,34,35,40,51,53,55,60,61,64,68,70,74,84,88,64,60,84,70,68,06,00,53,40,74,88,27,26,61,30,14,35,34,55,51
lotomania,62,08/11/2000,False,09,14,19,20,23,24,25,27,31,32,33,36,41,43,44,49,61,62,66,81,33,32,66,43,44,31,27,19,20,14,24,62,49,61,09,81,36,41,25,23
lotomania,63,11/11/2000,True,01,03,18,24,33,36,41,47,48,52,54,57,65,69,74,78,82,91,92,99,82,52,78,24,74,91,92,41,54,47,69,01,99,36,65,48,57,33,03,18
lotomania,64,18/11/2000,True,03,05,06,09,11,16,21,29,37,38,47,51,54,66,68,69,84,85,93,98,06,54,38,21,93,66,05,09,69,47,16,37,85,98,84,68,29,51,11,03
lotomania,65,22/11/2000,True,01,07,08,11,14,18,21,23,27,31,39,45,58,69,72,79,83,86,92,98,98,83,72,23,79,07,69,14,08,58,21,39,18,01,27,45,31,86,11,92
lotomania,66,25/11/2000,False,04,14,16,17,23,26,33,36,38,44,54,57,62,66,76,78,88,92,94,99,16,54,76,92,62,99,38,04,66,36,23,88,14,94,33,17,57,78,44,26
lotomania,67,29/11/2000,False,03,07,09,14,18,25,26,36,46,49,50,62,64,75,76,85,89,91,94,98,14,64,46,62,09,18,76,07,50,25,49,91,26,89,85,03,36,98,94,75
lotomania,68,02/12/2000,True,03,05,06,08,22,23,24,25,28,32,45,46,53,54,57,71,78,82,88,94,82,08,28,88,03,46,78,94,32,54,71,06,23,05,24,25,45,22,57,53
lotomania,69,06/12/2000,True,00,01,14,15,24,29,30,34,45,55,58,69,72,73,76,83,86,94,95,98,55,00,95,45,94,15,72,34,76,24,69,73,98,58,86,30,29,14,01,83
lotomania,70,09/12/2000,True,00,12,13,17,30,33,38,39,41,44,46,47,66,80,81,83,89,90,91,94,17,44,89,66,90,80,38,94,81,12,46,30,83,41,91,13,00,39,47,33
lotomania,71,13/12/2000,True,11,24,27,30,36,39,44,46,50,53,55,59,61,63,66,69,73,81,90,94,39,30,66,69,24,81,90,61,94,59,44,53,73,36,63,46,55,50,27,11
lotomania,72,16/12/2000,False,00,08,09,11,16,20,25,31,35,39,45,47,52,64,68,70,74,87,90,93,74,93,00,35,31,25,16,11,39,52,68,70,87,64,47,90,45,08,09,20
lotomania,73,20/12/2000,False,11,14,18,30,39,41,50,59,69,71,73,74,81,83,91,92,93,94,98,99,81,39,50,94,69,18,91,92,73,11,71,99,83,59,41,98,93,74,14,30
