loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,b6,o1,o2,o3,o4,o5,o6
megasena,2107,15/12/2018,True,08,38,44,50,56,60,50,44,60,38,56,08
megasena,2108,18/12/2018,True,19,22,29,41,44,59,44,59,29,19,41,22
megasena,2109,20/12/2018,True,04,12,16,34,44,49,04,16,44,49,12,34
megasena,2110,31/12/2018,False,05,10,12,18,25,33,25,33,10,12,18,05
megasena,2111,02/01/2019,True,01,41,44,46,54,58,54,41,01,46,58,44
megasena,2112,05/01/2019,True,17,39,43,46,52,53,17,46,43,53,52,39
megasena,2113,09/01/2019,True,11,14,21,25,46,50,11,21,46,14,25,50
megasena,2114,12/01/2019,True,17,25,30,35,42,57,35,17,30,25,42,57
megasena,2115,15/01/2019,True,04,19,27,35,40,44,19,40,35,44,27,04
megasena,2116,17/01/2019,True,01,09,19,21,34,54,21,19,01,09,34,54
megasena,2117,19/01/2019,True,04,28,29,30,43,52,28,43,04,29,52,30
megasena,2118,23/01/2019,False,11,12,20,40,41,46,41,11,12,46,20,40
megasena,2119,26/01/2019,True,19,21,26,31,42,49,42,49,26,31,19,21
megasena,2120,30/01/2019,True,13,20,24,25,38,41,38,41,20,24,25,13
megasena,2121,02/02/2019,False,08,10,17,29,37,40,37,08,17,29,10,40
megasena,2122,06/02/2019,True,03,11,15,21,27,49,27,21,03,11,15,49
megasena,2123,09/02/2019,True,14,15,47,50,56,59,47,59,14,56,50,15
megasena,2124,13/02/2019,True,02,11,20,31,43,47,31,20,47,43,02,11
megasena,2125,16/02/2019,True,01,31,44,46,53,58,44,01,31,53,46,58
megasena,2126,20/02/2019,True,07,12,24,27,39,58,58,39,27,07,24,12
megasena,2127,23/02/2019,True,01,07,28,30,44,46,07,46,28,30,44,01
megasena,2128,26/02/2019,True,11,16,24,46,54,55,24,55,46,16,11,54
megasena,2129,28/02/2019,True,06,12,31,32,46,60,60,46,12,06,32,31
megasena,2130,02/03/2019,True,13,16,36,53,54,55,13,53,16,36,55,54
megasena,2131,06/03/2019,False,02,03,06,18,20,28,28,18,20,06,02,03
megasena,2132,09/03/2019,True,05,18,30,35,39,60,05,60,18,39,35,30
megasena,2133,13/03/2019,True,19,20,26,51,52,57,26,20,19,51,52,57
megasena,2134,16/03/2019,True,06,21,34,46,54,59,54,06,46,21,59,34
megasena,2135,20/03/2019,False,09,23,28,40,48,59,23,48,59,28,40,09
megasena,2136,23/03/2019,True,01,08,11,22,30,35,35,22,11,01,30,08
megasena,2137,27/03/2019,True,01,02,11,12,34,49,02,01,49,11,12,34
megasena,2138,30/03/2019,True,04,13,14,21,30,34,30,34,04,21,13,14
megasena,2139,03/04/2019,True,14,23,29,41,57,58,58,29,23,41,14,57
megasena,2140,06/04/2019,True,17,20,26,36,42,54,20,54,36,17,42,26
megasena,2141,10/04/2019,True,10,11,17,19,37,41,10,19,11,37,41,17
megasena,2142,13/04/2019,True,07,40,44,50,52,57,44,50,52,57,07,40
megasena,2143,17/04/2019,True,02,12,35,51,57,58,12,58,35,51,02,57
megasena,2144,20/04/2019,True,07,16,21,33,55,60,21,33,55,16,07,60
megasena,2145,24/04/2019,True,06,08,28,51,53,59,06,59,28,08,51,53
megasena,2146,27/04/2019,True,16,18,31,39,42,44,39,42,16,18,44,31
megasena,2147,02/05/2019,True,17,19,37,41,42,49,49,42,17,19,37,41
megasena,2148,04/05/2019,True,08,15,32,33,58,59,59,33,08,58,32,15
megasena,2149,08/05/2019,True,21,23,37,44,46,48,21,48,46,23,44,37
megasena,2150,11/05/2019,False,23,24,26,38,42,49,38,24,23,26,42,49
megasena,2151,15/05/2019,True,02,14,18,29,36,38,36,38,02,29,14,18
megasena,2152,18/05/2019,True,26,29,36,49,50,59,49,36,29,26,59,50
megasena,2153,22/05/2019,False,08,13,28,31,32,33,13,28,31,08,33,32
megasena,2154,25/05/2019,True,07,25,41,47,50,53,53,41,47,50,07,25
megasena,2155,29/05/2019,True,02,06,27,37,44,47,37,44,02,27,06,47
megasena,2156,01/06/2019,True,01,06,23,26,39,49,49,39,23,06,26,01
megasena,2157,05/06/2019,True,31,33,34,35,39,48,34,48,31,39,33,35
megasena,2158,08/06/2019,True,09,27,35,45,46,59,09,27,46,59,35,45
megasena,2159,12/06/2019,True,14,26,35,38,45,53,53,35,38,14,45,26
megasena,2160,15/06/2019,True,01,19,46,47,49,53,53,49,01,46,47,19
megasena,2161,19/06/2019,False,08,09,10,24,42,44,24,10,08,44,09,42
megasena,2162,22/06/2019,True,11,16,22,30,34,42,11,30,42,34,16,22
megasena,2163,26/06/2019,True,08,18,20,24,36,45,45,20,24,36,18,08
megasena,2164,29/06/2019,True,16,17,25,47,48,58,48,17,58,47,16,25
megasena,2165,03/07/2019,False,05,37,43,49,54,56,56,49,54,43,05,37
megasena,2166,06/07/2019,True,03,19,34,44,56,58,44,03,34,56,19,58
megasena,2167,09/07/2019,True,27,37,38,43,45,54,37,45,38,43,54,27
megasena,2168,11/07/2019,False,01,04,25,27,29,37,37,25,29,04,01,27
megasena,2169,13/07/2019,True,07,34,45,51,54,59,45,07,34,59,51,54
megasena,2170,17/07/2019,True,10,21,24,36,38,51,36,21,51,10,24,38
megasena,2171,20/07/2019,False,12,13,19,36,44,55,19,12,13,36,55,44
megasena,2172,24/07/2019,True,09,24,28,37,43,57,09,57,43,37,28,24
megasena,2173,27/07/2019,True,02,09,42,44,48,50,09,48,44,42,02,50
megasena,2174,31/07/2019,True,10,15,34,36,56,60,36,10,34,15,60,56
megasena,2175,03/08/2019,True,07,25,32,43,53,55,55,53,07,32,43,25
megasena,2176,06/08/2019,False,08,23,25,39,43,44,23,08,25,43,39,44
megasena,2177,08/08/2019,True,09,11,14,31,48,51,14,09,48,11,31,51
megasena,2178,10/08/2019,True,02,16,21,42,50,56,16,21,42,02,50,56
megasena,2179,14/08/2019,True,02,13,24,35,50,54,24,02,35,54,50,13
megasena,2180,17/08/2019,True,10,12,16,21,28,38,16,12,10,21,28,38
megasena,2181,21/08/2019,True,01,08,19,33,36,48,08,01,19,48,36,33
megasena,2182,24/08/2019,True,19,22,39,46,47,59,59,47,46,19,39,22
megasena,2183,28/08/2019,True,13,26,30,34,43,51,51,13,43,30,34,26
megasena,2184,31/08/2019,True,15,36,45,51,52,59,51,15,52,36,59,45
megasena,2185,04/09/2019,True,09,18,19,22,42,47,19,42,18,47,22,09
megasena,2186,09/09/2019,True,12,18,19,27,41,46,27,19,12,41,18,46
megasena,2187,11/09/2019,True,10,11,16,21,46,50,16,21,50,10,46,11
megasena,2188,14/09/2019,True,02,17,21,28,51,60,60,51,21,28,02,17
megasena,2189,18/09/2019,False,04,11,16,22,29,33,33,29,11,04,16,22
megasena,2190,21/09/2019,True,05,09,20,25,35,53,53,35,25,09,05,20
megasena,2191,24/09/2019,False,04,08,26,33,46,53,33,46,26,04,53,08
megasena,2192,26/09/2019,True,07,16,37,53,57,59,57,53,07,59,16,37
megasena,2193,28/09/2019,False,07,08,22,27,29,42,08,07,42,27,29,22
megasena,2194,02/10/2019,True,08,16,20,21,31,34,16,08,20,21,34,31
megasena,2195,05/10/2019,True,14,24,32,38,46,53,24,32,38,53,46,14
megasena,2196,09/10/2019,True,01,25,27,28,41,56,56,28,27,01,41,25
megasena,2197,14/10/2019,True,03,11,29,35,44,57,29,11,03,35,44,57
megasena,2198,16/10/2019,False,01,11,34,36,44,56,56,11,34,44,36,01
megasena,2199,19/10/2019,True,15,23,30,35,38,44,38,23,30,44,35,15
megasena,2200,22/10/2019,True,11,15,28,36,43,55,28,55,36,43,11,15
megasena,2201,24/10/2019,True,03,13,23,41,49,53,13,49,03,41,53,23
megasena,2202,26/10/2019,True,11,29,37,38,43,60,43,60,37,38,29,11
megasena,2203,30/10/2019,True,17,34,46,49,50,57,34,46,57,50,17,49
megasena,2204,04/11/2019,True,01,28,29,32,35,56,32,56,29,28,01,35
