loteria,concurso,data,acumulou,b1,b2,b3,b4,b5,o1,o2,o3,o4,o5
quina,172,18/01/1996,False,37,38,57,67,79,37,38,57,67,79
quina,173,21/01/1996,False,22,29,34,42,51,22,29,34,42,51
quina,174,25/01/1996,False,11,16,23,44,48,11,16,23,44,48
quina,175,28/01/1996,False,29,60,64,72,79,29,60,64,72,79
quina,176,01/02/1996,False,01,27,29,36,73,01,27,29,36,73
quina,177,04/02/1996,False,09,33,48,67,73,09,33,48,67,73
quina,178,08/02/1996,False,05,14,15,66,68,05,14,15,66,68
quina,179,11/02/1996,False,30,60,65,68,75,30,60,65,68,75
quina,180,15/02/1996,False,01,20,23,25,49,01,20,23,25,49
quina,181,18/02/1996,False,06,21,31,37,64,06,21,31,37,64
quina,182,25/02/1996,False,09,44,46,57,59,09,44,46,57,59
quina,183,29/02/1996,False,20,33,48,69,70,20,33,48,69,70
quina,184,03/03/1996,False,22,29,38,58,62,62,22,38,29,58
quina,185,07/03/1996,False,09,24,28,31,45,09,24,28,31,45
quina,186,10/03/1996,True,06,20,21,46,63,06,20,21,46,63
quina,187,14/03/1996,False,02,43,45,64,68,02,43,45,64,68
quina,188,17/03/1996,False,28,43,56,57,77,28,43,56,57,77
quina,189,21/03/1996,True,01,05,52,53,71,01,05,52,53,71
quina,190,24/03/1996,True,21,29,46,59,76,21,29,46,59,76
quina,191,28/03/1996,False,04,07,19,35,56,04,07,19,35,56
quina,192,31/03/1996,False,16,37,54,68,77,16,37,54,68,77
quina,193,07/04/1996,False,12,13,51,67,73,12,13,51,67,73
quina,194,11/04/1996,False,14,19,32,37,45,14,19,32,37,45
quina,195,14/04/1996,False,08,23,50,65,73,08,23,50,65,73
quina,196,18/04/1996,False,10,27,30,72,78,10,27,30,72,78
quina,197,21/04/1996,False,03,27,30,33,59,03,27,30,33,59
quina,198,25/04/1996,False,06,14,18,71,73,06,14,18,71,73
quina,199,28/04/1996,True,03,31,47,77,79,03,31,47,77,79
quina,200,05/05/1996,False,19,21,64,70,72,19,21,64,70,72
quina,201,09/05/1996,False,07,71,73,76,79,07,71,73,76,79
quina,202,12/05/1996,False,06,37,43,61,62,06,37,43,61,62
